time(ms),ecg
0.365625,0.0
2.31875,-4.76837158203125e-05
4.271875,-4.76837158203125e-05
6.225,-0.0001430511474609375
8.178125,-0.0001430511474609375
10.13125,-4.76837158203125e-05
12.084375,-0.0003814697265625
14.0375,0.0
15.990625,-0.0001430511474609375
17.94375,-0.00095367431640625
19.896875,0.0019550323486328125
21.85,0.0011920928955078125
23.803125,-0.00667572021484375
25.75625,-0.008630752563476562
27.709375,-0.0041961669921875
29.6625,-0.0047206878662109375
31.615625,-0.010728836059570312
33.56875,-0.013828277587890625
35.521875,-0.015354156494140625
37.475,-0.01888275146484375
39.428125,-0.023365020751953125
41.38125,-0.023031234741210938
43.334375,-0.009918212890625
45.2875,0.0063419342041015625
47.240625,0.019931793212890625
49.19375,0.0370025634765625
51.146875,0.04916191101074219
53.1,0.05307197570800781
55.053125,0.05545616149902344
57.00625,0.05326271057128906
58.959375,0.047969818115234375
60.9125,0.0469207763671875
62.865625,0.049304962158203125
64.81875,0.050640106201171875
66.771875,0.05068778991699219
68.725,0.04849433898925781
70.678125,0.04487037658691406
72.63125,0.043582916259765625
74.584375,0.044536590576171875
76.5375,0.0446319580078125
78.490625,0.04115104675292969
80.44375,0.04134178161621094
82.396875,0.04315376281738281
84.35,0.03981590270996094
86.303125,0.03952980041503906
88.25625,0.04143714904785156
90.209375,0.0400543212890625
92.1625,0.039196014404296875
94.115625,0.041866302490234375
96.06875,0.04482269287109375
98.021875,0.045108795166015625
99.975,0.043964385986328125
101.928125,0.0415802001953125
103.88125,0.03972053527832031
105.834375,0.04010200500488281
107.7875,0.041866302490234375
109.740625,0.04096031188964844
111.69375,0.03871917724609375
113.646875,0.03809928894042969
115.6,0.03800392150878906
117.553125,0.040912628173828125
119.50625,0.041294097900390625
121.459375,0.03790855407714844
123.4125,0.03943443298339844
125.365625,0.04172325134277344
127.31875,0.0423431396484375
129.271875,0.044727325439453125
131.225,0.045490264892578125
133.178125,0.04324913024902344
135.13125,0.04363059997558594
137.084375,0.04620552062988281
139.0375,0.04329681396484375
140.990625,0.04138946533203125
142.94375,0.04520416259765625
144.896875,0.04382133483886719
146.85,0.04239082336425781
148.803125,0.046443939208984375
150.75625,0.04725456237792969
152.709375,0.04601478576660156
154.6625,0.046539306640625
156.615625,0.04763603210449219
158.56875,0.046253204345703125
